id,GUK1_Q16774,SSX1_Q16384,EXOSC1_Q9Y3B2
RES-701-3,0.2426044940948486,-0.0014561936259269,0.1881063580513
MccJ25,1.22683584690094,1.093050479888916,1.1968940496444702
Capistruin,1.091139793395996,0.906361758708954,1.0493239164352417
Anantin,0.3050296008586883,0.0698670595884323,0.2514851987361908
Siamycin-I,-2.5814995765686035,-2.6105668544769287,-2.588088274002075
Chaxapeptin,0.8625233173370361,0.7837530374526978,0.8459450006484985
Sphingopyxin-I,0.5684415102005005,0.4360860586166382,0.5412197113037109
Lassomycin,0.0161728039383888,0.1063433215022087,0.0381543114781379
Ubonodin,-1.0134248733520508,-1.1297894716262815,-1.040941596031189
Lariocidin,0.4549356997013092,0.4975309073925018,0.4654191434383392
RES-701-1,0.343595802783966,0.0965765342116355,0.2875731289386749
PB1m7,-2.483452796936035,-2.516866683959961,-2.4910829067230225
Capi-var1,0.9958416223526,0.8121463060379028,0.9536675214767456
