target,n,mean_af,mean_exp,mean_delta,spearman
PLXNB1,9,-13.244111111111112,-11.288888888888888,-1.9552222222222215,-0.4184137043778615
NPR1,11,-13.042636363636364,-12.145454545454545,-0.8971818181818182,0.7678668180857438
CLPB,11,-13.18481818181818,-12.56590909090909,-0.6189090909090907,0.4611920226269954
POLR2A,11,-14.511818181818182,-14.772727272727273,0.2609090909090908,0.018264840182648404
FKBP1A,11,-11.187363636363635,-11.481818181818182,0.29445454545454536,0.27128228902430473
C3,11,-10.981454545454545,-11.836363636363636,0.854909090909091,-0.14416513718280433
MDM2,10,-8.941999999999998,-9.98,1.0380000000000003,0.3988030274409017
PPIA,11,-11.340363636363637,-12.581818181818182,1.2414545454545456,0.6988671948197773
EDNRB,8,-5.256375,-13.8,8.543624999999999,0.4910267673844361
