id,pep,rec,cx,cy,cz,sx,sy,sz
81,RES-701-3,CTRL_9KDF,115.0,125.5,152.2,38,38,38
82,RES-701-1,EDNRB,113.4,124.9,124.8,65,95,126
83,RES-701-1,PLXNB1,40.7,-13.4,10.5,38,38,38
84,RES-701-1,POLR2A,136.0,120.6,144.4,120,64,106
85,RES-701-1,PPIA,-1.5,65.7,57.6,56,53,83
86,RES-701-1,FKBP1A,15.0,31.5,15.8,42,46,55
87,RES-701-1,NPR1,-7.5,-0.8,27.7,98,90,123
88,RES-701-1,C3,36.1,20.3,-36.6,38,38,38
89,RES-701-1,MDM2,23.5,-25.5,-7.6,38,38,38
90,RES-701-1,ITGAVB3,19.1,44.4,43.9,38,38,38
91,RES-701-1,CLPB,-3.0,12.8,-19.7,112,101,124
92,PB1m7,EDNRB,113.4,124.9,124.8,65,95,126
93,PB1m7,PLXNB1,40.7,-13.4,10.5,38,38,38
94,PB1m7,POLR2A,136.0,120.6,144.4,120,64,106
95,PB1m7,PPIA,-1.5,65.7,57.6,56,53,83
96,PB1m7,FKBP1A,15.0,31.5,15.8,42,46,55
97,PB1m7,NPR1,-7.5,-0.8,27.7,98,90,123
98,PB1m7,C3,36.1,20.3,-36.6,38,38,38
99,PB1m7,MDM2,23.5,-25.5,-7.6,38,38,38
100,PB1m7,ITGAVB3,19.1,44.4,43.9,38,38,38
101,PB1m7,CLPB,-3.0,12.8,-19.7,112,101,124
102,Capi-var1,EDNRB,113.4,124.9,124.8,65,95,126
103,Capi-var1,PLXNB1,40.7,-13.4,10.5,38,38,38
104,Capi-var1,POLR2A,136.0,120.6,144.4,120,64,106
105,Capi-var1,PPIA,-1.5,65.7,57.6,56,53,83
106,Capi-var1,FKBP1A,15.0,31.5,15.8,42,46,55
107,Capi-var1,NPR1,-7.5,-0.8,27.7,98,90,123
108,Capi-var1,C3,36.1,20.3,-36.6,38,38,38
109,Capi-var1,MDM2,23.5,-25.5,-7.6,38,38,38
110,Capi-var1,ITGAVB3,19.1,44.4,43.9,38,38,38
111,Capi-var1,CLPB,-3.0,12.8,-19.7,112,101,124
